timestamp,container,cpu_perc,mem_usage,mem_limit,mem_perc,net_io,block_io,pids
1773948391,deployment-registry-1,0.54%,100.3MiB / 1.946GiB,5.03%,4.83MB / 3.17MB,361MB / 524kB,50
1773948391,deployment-recommender-1,3.33%,231.6MiB / 1.946GiB,11.62%,10.1MB / 6.23MB,433MB / 115kB,74
1773948391,deployment-persistence-1,0.16%,311.9MiB / 1.946GiB,15.65%,175MB / 159MB,507MB / 1.34MB,56
1773948391,deployment-db-1,0.07%,13.52MiB / 1.946GiB,0.68%,17.4MB / 65.1MB,142MB / 133MB,35
1773948399,deployment-image-1,3.49%,204.6MiB / 1.946GiB,10.27%,59.6MB / 1.86GB,378MB / 397kB,78
1773948399,deployment-auth-1,5.95%,219.9MiB / 1.946GiB,11.03%,95.9MB / 64.5MB,548MB / 786kB,69
1773948399,deployment-webui-1,3.99%,435.8MiB / 1.946GiB,21.87%,2.14GB / 2.58GB,814MB / 1.03MB,110
1773948399,deployment-registry-1,0.51%,100.4MiB / 1.946GiB,5.04%,4.85MB / 3.18MB,361MB / 524kB,50
1773948399,deployment-recommender-1,3.75%,231.8MiB / 1.946GiB,11.63%,10.1MB / 6.23MB,434MB / 115kB,74
1773948399,deployment-persistence-1,1.32%,311.7MiB / 1.946GiB,15.64%,175MB / 159MB,507MB / 1.34MB,56
1773948399,deployment-db-1,0.18%,13.52MiB / 1.946GiB,0.68%,17.4MB / 65.1MB,142MB / 133MB,35
1773948408,deployment-image-1,2.77%,205.1MiB / 1.946GiB,10.29%,59.6MB / 1.86GB,379MB / 397kB,78
1773948408,deployment-auth-1,3.78%,219.8MiB / 1.946GiB,11.03%,96MB / 64.5MB,549MB / 786kB,69
1773948408,deployment-webui-1,3.03%,437.2MiB / 1.946GiB,21.94%,2.14GB / 2.58GB,816MB / 1.03MB,110
1773948408,deployment-registry-1,1.08%,100.1MiB / 1.946GiB,5.02%,4.87MB / 3.19MB,361MB / 524kB,50
1773948408,deployment-recommender-1,1.31%,231.9MiB / 1.946GiB,11.64%,10.1MB / 6.24MB,435MB / 115kB,74
1773948408,deployment-persistence-1,1.98%,310.8MiB / 1.946GiB,15.60%,175MB / 159MB,507MB / 1.34MB,56
1773948408,deployment-db-1,0.21%,13.27MiB / 1.946GiB,0.67%,17.4MB / 65.1MB,142MB / 133MB,35
1773948416,deployment-image-1,1.66%,205.4MiB / 1.946GiB,10.31%,59.6MB / 1.86GB,379MB / 397kB,78
1773948416,deployment-auth-1,1.81%,219.7MiB / 1.946GiB,11.03%,96MB / 64.5MB,549MB / 786kB,69
1773948416,deployment-webui-1,4.13%,437.1MiB / 1.946GiB,21.93%,2.14GB / 2.58GB,817MB / 1.03MB,110
1773948416,deployment-registry-1,0.99%,100MiB / 1.946GiB,5.02%,4.88MB / 3.21MB,361MB / 524kB,50
1773948416,deployment-recommender-1,4.05%,232.3MiB / 1.946GiB,11.66%,10.1MB / 6.24MB,435MB / 115kB,74
1773948416,deployment-persistence-1,0.20%,310.8MiB / 1.946GiB,15.59%,175MB / 159MB,507MB / 1.34MB,56
1773948416,deployment-db-1,0.08%,13.14MiB / 1.946GiB,0.66%,17.4MB / 65.1MB,142MB / 133MB,35
1773948425,deployment-image-1,1.48%,205.6MiB / 1.946GiB,10.31%,59.6MB / 1.86GB,379MB / 397kB,78
1773948425,deployment-auth-1,1.25%,220.1MiB / 1.946GiB,11.04%,96MB / 64.5MB,550MB / 786kB,69
