timestamp,container,cpu_perc,mem_usage,mem_limit,mem_perc,net_io,block_io,pids
1773916445,deployment-registry-1,0.73%,49.32MiB / 1.946GiB,2.47%,47.8MB / 31.4MB,515MB / 741kB,50
1773916445,deployment-webui-1,3.16%,425.9MiB / 1.946GiB,21.37%,1.2GB / 1.43GB,761MB / 2.31MB,168
1773916445,deployment-db-1,0.07%,5.766MiB / 1.946GiB,0.29%,7.59MB / 34MB,91.1MB / 2.17MB,62
1773916445,deployment-auth-1,2.73%,243.2MiB / 1.946GiB,12.20%,21.3MB / 13.4MB,686MB / 328kB,65
1773916445,deployment-recommender-1,2.41%,265MiB / 1.946GiB,13.30%,7.49MB / 11.3MB,553MB / 1.29MB,74
1773916445,deployment-persistence-1,3.98%,283.3MiB / 1.946GiB,14.21%,57.4MB / 62MB,790MB / 3.45MB,117
1773916454,deployment-image-1,1.47%,223.8MiB / 1.946GiB,11.23%,27.9MB / 1.12GB,597MB / 4.2MB,136
1773916454,deployment-registry-1,0.88%,50.02MiB / 1.946GiB,2.51%,47.8MB / 31.5MB,517MB / 741kB,50
1773916454,deployment-webui-1,15.37%,420.9MiB / 1.946GiB,21.12%,1.2GB / 1.44GB,765MB / 2.31MB,164
1773916454,deployment-db-1,0.69%,5.746MiB / 1.946GiB,0.29%,7.6MB / 34MB,91.1MB / 2.17MB,62
1773916454,deployment-auth-1,1.43%,243MiB / 1.946GiB,12.19%,21.3MB / 13.4MB,686MB / 328kB,65
1773916454,deployment-recommender-1,1.29%,264.5MiB / 1.946GiB,13.27%,7.49MB / 11.3MB,553MB / 1.29MB,74
1773916454,deployment-persistence-1,0.49%,280.5MiB / 1.946GiB,14.07%,57.4MB / 62MB,790MB / 3.45MB,117
1773916464,deployment-image-1,1.25%,224.2MiB / 1.946GiB,11.25%,28.1MB / 1.13GB,597MB / 4.2MB,136
1773916464,deployment-registry-1,0.47%,50.89MiB / 1.946GiB,2.55%,47.8MB / 31.5MB,519MB / 741kB,50
1773916464,deployment-webui-1,2.88%,422.2MiB / 1.946GiB,21.19%,1.21GB / 1.45GB,767MB / 2.31MB,164
1773916464,deployment-db-1,0.08%,5.746MiB / 1.946GiB,0.29%,7.65MB / 34.2MB,91.1MB / 2.17MB,62
1773916464,deployment-auth-1,0.16%,243.2MiB / 1.946GiB,12.21%,21.4MB / 13.4MB,686MB / 328kB,65
1773916464,deployment-recommender-1,0.28%,264.8MiB / 1.946GiB,13.29%,7.5MB / 11.3MB,553MB / 1.29MB,74
1773916464,deployment-persistence-1,4.79%,280.1MiB / 1.946GiB,14.06%,57.8MB / 62.4MB,790MB / 3.45MB,117
1773916472,deployment-image-1,1.93%,224.2MiB / 1.946GiB,11.25%,28.1MB / 1.13GB,597MB / 4.2MB,136
1773916472,deployment-registry-1,0.72%,52.18MiB / 1.946GiB,2.62%,47.8MB / 31.5MB,521MB / 741kB,50
1773916472,deployment-webui-1,3.90%,422.3MiB / 1.946GiB,21.19%,1.21GB / 1.45GB,767MB / 2.31MB,163
1773916472,deployment-db-1,0.07%,5.746MiB / 1.946GiB,0.29%,7.65MB / 34.2MB,91.1MB / 2.17MB,62
1773916472,deployment-auth-1,1.33%,247.1MiB / 1.946GiB,12.40%,21.4MB / 13.4MB,691MB / 328kB,65
1773916472,deployment-recommender-1,1.29%,265.4MiB / 1.946GiB,13.32%,7.5MB / 11.3MB,554MB / 1.29MB,74
1773916472,deployment-persistence-1,2.12%,280.1MiB / 1.946GiB,14.06%,57.9MB / 62.5MB,790MB / 3.45MB,117
1773916480,deployment-image-1,1.33%,224.2MiB / 1.946GiB,11.25%,28.1MB / 1.13GB,597MB / 4.2MB,136
1773916480,deployment-registry-1,0.70%,53.61MiB / 1.946GiB,2.69%,47.8MB / 31.5MB,523MB / 741kB,50
1773916480,deployment-webui-1,2.51%,422.3MiB / 1.946GiB,21.19%,1.21GB / 1.45GB,767MB / 2.31MB,163
1773916480,deployment-db-1,0.07%,5.746MiB / 1.946GiB,0.29%,7.65MB / 34.2MB,91.1MB / 2.17MB,62
1773916480,deployment-auth-1,1.20%,247.4MiB / 1.946GiB,12.41%,21.4MB / 13.4MB,691MB / 328kB,65
1773916480,deployment-recommender-1,2.05%,265.4MiB / 1.946GiB,13.32%,7.5MB / 11.3MB,554MB / 1.29MB,74
1773916480,deployment-persistence-1,0.24%,280.1MiB / 1.946GiB,14.06%,57.9MB / 62.5MB,790MB / 3.45MB,117
1773916489,deployment-image-1,3.43%,223.9MiB / 1.946GiB,11.24%,28.2MB / 1.13GB,597MB / 4.2MB,136
1773916489,deployment-registry-1,0.61%,54.3MiB / 1.946GiB,2.72%,47.8MB / 31.5MB,526MB / 741kB,50
1773916489,deployment-webui-1,4.98%,420.3MiB / 1.946GiB,21.09%,1.21GB / 1.45GB,767MB / 2.31MB,163
1773916489,deployment-db-1,0.18%,5.738MiB / 1.946GiB,0.29%,7.66MB / 34.3MB,91.1MB / 2.17MB,62
1773916489,deployment-auth-1,0.51%,247.1MiB / 1.946GiB,12.40%,21.4MB / 13.4MB,691MB / 328kB,65
1773916489,deployment-recommender-1,0.17%,265.4MiB / 1.946GiB,13.32%,7.5MB / 11.3MB,554MB / 1.29MB,74
1773916489,deployment-persistence-1,0.28%,279.7MiB / 1.946GiB,14.04%,57.9MB / 62.5MB,790MB / 3.45MB,117
1773916497,deployment-image-1,1.53%,224.1MiB / 1.946GiB,11.25%,28.2MB / 1.13GB,597MB / 4.2MB,136
1773916497,deployment-registry-1,0.89%,55.65MiB / 1.946GiB,2.79%,47.9MB / 31.5MB,528MB / 741kB,50
1773916497,deployment-webui-1,2.82%,420.8MiB / 1.946GiB,21.11%,1.21GB / 1.45GB,767MB / 2.31MB,163
1773916497,deployment-db-1,0.07%,5.738MiB / 1.946GiB,0.29%,7.66MB / 34.3MB,91.1MB / 2.17MB,62
1773916497,deployment-auth-1,2.54%,247.1MiB / 1.946GiB,12.40%,21.4MB / 13.4MB,691MB / 328kB,65
1773916497,deployment-recommender-1,2.24%,265.5MiB / 1.946GiB,13.32%,7.51MB / 11.3MB,554MB / 1.29MB,74
1773916497,deployment-persistence-1,3.08%,280.4MiB / 1.946GiB,14.07%,57.9MB / 62.5MB,791MB / 3.45MB,117
1773916504,deployment-image-1,5.17%,223.8MiB / 1.946GiB,11.23%,28.2MB / 1.13GB,598MB / 4.2MB,136
1773916504,deployment-registry-1,0.72%,75.17MiB / 1.946GiB,3.77%,47.9MB / 31.5MB,559MB / 741kB,50
1773916504,deployment-webui-1,3.11%,414.9MiB / 1.946GiB,20.82%,1.21GB / 1.45GB,767MB / 2.31MB,163
1773916504,deployment-db-1,0.46%,5.719MiB / 1.946GiB,0.29%,7.66MB / 34.3MB,91.1MB / 2.17MB,62
1773916504,deployment-auth-1,35.55%,244.4MiB / 1.946GiB,12.26%,21.4MB / 13.4MB,691MB / 328kB,65
1773916504,deployment-recommender-1,1.90%,264.4MiB / 1.946GiB,13.27%,7.51MB / 11.4MB,554MB / 1.29MB,74
1773916504,deployment-persistence-1,5.79%,276.9MiB / 1.946GiB,13.90%,57.9MB / 62.6MB,792MB / 3.45MB,117
1773916514,deployment-image-1,0.34%,219.9MiB / 1.946GiB,11.03%,28.3MB / 1.14GB,598MB / 4.2MB,136
1773916514,deployment-registry-1,0.55%,73.52MiB / 1.946GiB,3.69%,47.9MB / 31.5MB,561MB / 741kB,50
1773916514,deployment-webui-1,1.26%,418.9MiB / 1.946GiB,21.02%,1.22GB / 1.46GB,792MB / 2.31MB,165
